Local Time	System Time	Position X	Position Y	Position Z	Distance 1	Distance 2	Distance 3	Distance 4	Distance 5	Distance 6	Distance 7	Distance 8
2851213	2820360	5.232999802	2.186000109	-1.348999977	5.842999935	7.934999943	6.967000008	4.44299984	5.419000149	7.818999767	6.808000088	4.090000153
2851233	2820380	5.243000031	2.190000057	-1.167999983	5.785999775	7.941999912	6.920000076	4.44299984	5.399000168	7.80700016	6.862999916	4.111000061
2851253	2820400	5.251999855	2.200999975	-1.254999995	5.828999996	7.927999973	6.916999817	4.447999954	5.374000072	7.804999828	6.809999943	4.125
2851273	2820420	5.256000042	2.193000078	-1.243000031	5.81099987	7.941999912	6.960999966	4.40899992	5.473999977	7.864999771	6.764999866	4.080999851
2851293	2820440	5.256000042	2.173000097	-1.187999964	5.778999805	7.960999966	6.986000061	4.381000042	5.458000183	7.840000153	6.767000198	4.097000122
2851313	2820460	5.268000126	2.194000006	-1.159000039	5.840000153	7.907000065	6.888000011	4.386000156	5.421999931	7.888999939	6.822000027	4.092000008
2851333	2820480	5.277999878	2.200999975	-1.171000004	5.842999935	7.923999786	6.903999805	4.369999886	5.436999798	7.869999886	6.791999817	4.066999912
2851353	2820500	5.296000004	2.210000038	-1.162999988	5.868000031	7.943999767	6.872000217	4.364999771	5.517000198	7.875	6.767000198	4.040999889
2851373	2820520	5.309999943	2.213999987	-1.148000002	5.868000031	7.948999882	6.869999886	4.355999947	5.513000011	7.926000118	6.760000229	4.046000004
2851393	2820540	5.328999996	2.207999945	-1.031000018	5.84499979	8	6.837999821	4.346000195	5.506000042	7.883999825	6.752999783	4.040999889
2851413	2820560	5.340000153	2.207999945	-0.9509999752	5.827000141	7.986000061	6.816999912	4.348999977	5.434999943	7.837999821	6.757999897	4.039000034
2851433	2820580	5.350999832	2.201999903	-1.095000029	5.875	7.998000145	6.857999802	4.315999985	5.489999771	7.883999825	6.767000198	4.027999878
2851453	2820600	5.361000061	2.176000118	-1.05400002	5.828999996	8.07199955	6.882999897	4.328000069	5.489999771	7.872000217	6.767000198	4.046000004
2851473	2820620	5.388000011	2.184999943	-0.8579999804	5.868000031	8.048999786	6.757999897	4.300000191	5.514999866	7.883999825	6.671999931	4.018000126
2851493	2820640	5.399000168	2.197000027	-0.7799999714	5.854000092	8.008999825	6.750999928	4.285999775	5.514999866	7.907000065	6.749000072	4.032000065
2851513	2820660	5.397999763	2.184999943	-0.8360000253	5.827000141	8.027999878	6.820000172	4.269999981	5.519000053	7.921000004	6.750999928	4
2851533	2820680	5.402999878	2.197999954	-1.105000019	5.93200016	7.994999886	6.822000027	4.278999805	5.538000107	7.837999821	6.776000023	3.993000031
2851553	2820700	5.412000179	2.193000078	-0.9610000253	5.883999825	8.043999672	6.803999901	4.27699995	5.546999931	7.914000034	6.735000134	4.020999908
2851573	2820720	5.434000015	2.16899991	-0.6150000095	5.834000111	8.12100029	6.764999866	4.217000008	5.544000149	7.948999882	6.750999928	3.994999886
2851593	2820740	5.43599987	2.165999889	-0.8149999976	5.876999855	8.036999702	6.808000088	4.18900013	5.59499979	7.907000065	6.750999928	3.986000061
2851613	2820760	5.448999882	2.163000107	-0.8280000091	5.886000156	8.088000298	6.778999805	4.222000122	5.612999916	7.962999821	6.763000011	3.990999937
2851633	2820780	5.44299984	2.167000055	-0.9210000038	5.886000156	8.041999817	6.808000088	4.239999771	5.639999866	7.960999966	6.708000183	4.013999939
2851653	2820800	5.455999851	2.171000004	-0.8730000257	5.918000221	8.07199955	6.771999836	4.204999924	5.605999947	7.981999874	6.705999851	3.967000008
2851673	2820820	5.459000111	2.171999931	-1.004999995	5.940999985	8.053999901	6.815000057	4.198999882	5.681000233	7.994999886	6.742000103	3.963000059
2851693	2820840	5.465000153	2.157999992	-1.087000012	5.94299984	8.116000175	6.848999977	4.210000038	5.715000153	7.974999905	6.703000069	3.948999882
2851713	2820860	5.475999832	2.15199995	-0.9940000176	5.953999996	8.100000381	6.823999882	4.157000065	5.695000172	8.005000114	6.684999943	3.937000036
2851733	2820880	5.481999874	2.14199996	-0.8730000257	5.915999889	8.109000206	6.813000202	4.15500021	5.664999962	8.043999672	6.673999786	3.944000006
2851753	2820900	5.495999813	2.131999969	-0.898999989	5.925000191	8.164999962	6.794000149	4.179999828	5.723999977	7.993000031	6.693999767	3.941999912
2851773	2820920	5.502999783	2.154999971	-1.019000053	5.998000145	8.076999664	6.774000168	4.171000004	5.708000183	7.972000122	6.701000214	3.926000118
2851793	2820940	5.506000042	2.164999962	-0.8050000072	5.945000172	8.07199955	6.750999928	4.147999763	5.751999855	7.965000153	6.664999962	3.910000086
2851813	2820960	5.517000198	2.193000078	-1.001999974	6.028999805	8.06099987	6.718999863	4.179999828	5.739999771	7.962999821	6.652999878	3.911999941
2851833	2820980	5.534999847	2.183000088	-0.8339999914	5.986000061	8.135000229	6.732999802	4.122000217	5.774000168	7.994999886	6.578000069	3.914000034
2851853	2821000	5.547999859	2.173000097	-0.8930000067	6.006999969	8.135000229	6.757999897	4.092000008	5.751999855	8.053999901	6.593999863	3.898000002
